time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01
0,1.8811911,-87.56153,5.371105,-0.080964744,-0.049854342,0.32713863
1,2.978655,-87.64613,5.545906,-0.011119114,-0.08356708,0.14757098
2,4.719943,-87.78053,5.8048735,0.07587197,-0.119579196,-0.10615895
3,6.596098,-87.92394,6.0884304,0.14151223,-0.13781492,-0.3379117
4,8.074147,-88.03254,6.3162065,0.1848807,-0.14186308,-0.4780173
5,9.007332,-88.09696,6.45829,0.22008342,-0.14042385,-0.5379517
6,9.524868,-88.1304,6.522898,0.24920622,-0.13581327,-0.5614427
7,9.795498,-88.14696,6.5302052,0.26973173,-0.12802811,-0.5793008
8,9.935322,-88.15542,6.502744,0.28102818,-0.11725235,-0.6045955
9,10.008983,-88.160286,6.4588614,0.28388876,-0.10382198,-0.6410523
10,10.049971,-88.16361,6.410166,0.27942944,-0.08787483,-0.6893695
11,10.074807,-88.16627,6.361454,0.26840174,-0.06931484,-0.7498507
12,10.090638,-88.16856,6.3118167,0.25079018,-0.047861405,-0.8233507
13,10.099206,-88.17054,6.256121,0.22564739,-0.022991853,-0.91189367
14,10.099124,-88.172195,6.1862803,0.19107345,0.006233214,-1.0194693
15,10.08757,-88.1735,6.092273,0.14427973,0.04135751,-1.152885
16,10.062379,-88.17439,5.9632115,0.081756994,0.084513314,-1.3219763
17,10.024923,-88.17478,5.7885175,-0.00038274578,0.1379134,-1.5379549
18,9.9826565,-88.17437,5.558913,-0.105951145,0.20271456,-1.8088263
19,9.948941,-88.172386,5.2681303,-0.23794235,0.27745065,-2.1321495
20,9.939107,-88.16762,4.918172,-0.39611748,0.35655707,-2.4882984
21,9.959663,-88.15906,4.526263,-0.57309693,0.43065965,-2.8415072
22,9.99304,-88.14663,4.128187,-0.75395477,0.49039173,-3.1515477
23,10.005096,-88.13068,3.7668169,-0.9224391,0.53101516,-3.3904097
24,9.973568,-88.111046,3.4645553,-1.0702286,0.5528986,-3.5533044
25,9.892574,-88.086716,3.2134564,-1.1998522,0.5584019,-3.6536243
26,9.75802,-88.05588,2.9901865,-1.3188673,0.54919183,-3.7099836
27,9.562059,-88.016045,2.7702196,-1.4336144,0.5254238,-3.7388618
28,9.304013,-87.96483,2.5327969,-1.547223,0.4868282,-3.7527506
29,9.008521,-87.90238,2.265473,-1.6595272,0.43558395,-3.7577097
30,8.719614,-87.83403,1.9800102,-1.766805,0.37755683,-3.7498205
31,8.467619,-87.768135,1.7128011,-1.8658634,0.31878534,-3.7201316
32,8.25762,-87.70931,1.4804355,-1.9590274,0.26213723,-3.6681163
33,8.082697,-87.65724,1.2696968,-2.051409,0.20774543,-3.6013458
34,7.9321675,-87.61052,1.0654985,-2.1471791,0.15456524,-3.5257387
35,7.7900667,-87.56785,0.8571263,-2.2509446,0.1008335,-3.4419603
36,7.635412,-87.52747,0.6324025,-2.370491,0.04361487,-3.3448782
37,7.449113,-87.487144,0.37844715,-2.5168529,-0.02116792,-3.2231085
38,7.2181416,-87.44495,0.08499726,-2.7022543,-0.09824724,-3.060788
39,6.931207,-87.39992,-0.2586073,-2.9379013,-0.19240344,-2.8455462
40,6.582095,-87.353195,-0.6592702,-3.225655,-0.30508518,-2.58288
41,6.1834755,-87.30892,-1.1011437,-3.5423388,-0.42832562,-2.3052254
42,5.7699003,-87.270645,-1.5473431,-3.8439505,-0.54759395,-2.047016
43,5.382775,-87.23594,-1.9742526,-4.1013856,-0.6559026,-1.8057181
44,5.066175,-87.20296,-2.3666687,-4.3058248,-0.75004,-1.5827457
45,4.8442745,-87.176155,-2.69736,-4.449249,-0.8204538,-1.4152595
46,4.6781187,-87.1549,-2.971613,-4.544994,-0.86667114,-1.3032312
47,4.521114,-87.13507,-3.2132196,-4.6123967,-0.89455193,-1.2262406
48,4.3416886,-87.114334,-3.438754,-4.6597543,-0.90725994,-1.1716082
49,4.0990443,-87.091545,-3.6602612,-4.6866345,-0.9035482,-1.1353303
50,3.7251177,-87.065315,-3.8910284,-4.690525,-0.87695956,-1.1243522
51,3.1780186,-87.03335,-4.1313353,-4.6731424,-0.816039,-1.1487672
52,2.5319128,-86.99249,-4.358782,-4.641686,-0.71081483,-1.2005047
53,1.9225515,-86.943115,-4.5766172,-4.615936,-0.56842095,-1.2651297
54,1.3772546,-86.88986,-4.8130083,-4.630737,-0.40799406,-1.3353615
55,0.8475174,-86.8366,-5.075919,-4.6959987,-0.24521562,-1.3846344
56,0.2766482,-86.78165,-5.360939,-4.809672,-0.077582814,-1.3797368
57,-0.37750074,-86.71731,-5.632696,-4.9633465,0.11216337,-1.297098
58,-1.081729,-86.64185,-5.841319,-5.107464,0.32523406,-1.129482
59,-1.8005332,-86.56554,-5.952235,-5.1463165,0.5389447,-0.87607056
60,-2.6769273,-86.48835,-5.9403934,-5.064903,0.75276643,-0.52647054
61,-3.7106054,-86.41504,-5.810195,-4.8596077,0.9422396,-0.13555305
62,-4.543428,-86.3614,-5.638756,-4.555788,1.048481,0.21421522
63,-4.983369,-86.33113,-5.508439,-4.2539206,1.0468303,0.51189864
64,-5.128384,-86.31356,-5.4159946,-3.9650831,0.94314796,0.7946238
65,-5.1130247,-86.302444,-5.343279,-3.6510365,0.74922544,1.1098235
66,-5.0659485,-86.2974,-5.273965,-3.3503125,0.5048396,1.4381812
67,-5.150449,-86.29047,-5.1873283,-3.1168392,0.26250044,1.7234977
68,-5.45907,-86.27408,-5.059951,-2.915073,0.03453043,1.9655267
69,-5.9261665,-86.25087,-4.877306,-2.6887016,-0.18501459,2.1912756
70,-6.421892,-86.23089,-4.6809444,-2.4405882,-0.3722956,2.3842437
71,-6.8807235,-86.21889,-4.4927998,-2.197922,-0.51189494,2.5239398
72,-7.2363334,-86.219475,-4.2993526,-1.9513816,-0.61936927,2.63143
73,-7.460469,-86.235016,-4.083784,-1.6808997,-0.7116513,2.7398555
74,-7.5787864,-86.261955,-3.849782,-1.4065343,-0.7860716,2.8558981
75,-7.6360106,-86.29843,-3.6071339,-1.1526322,-0.8319526,2.9762635
76,-7.6874003,-86.351395,-3.316105,-0.8812282,-0.8512658,3.1340313
77,-7.786326,-86.43011,-2.94106,-0.5698959,-0.8509941,3.366072
78,-7.919639,-86.52946,-2.522688,-0.2841618,-0.8247245,3.6619337
79,-8.035336,-86.63844,-2.0750332,-0.08485533,-0.7579985,4.0113635
80,-8.10774,-86.744255,-1.5982078,-0.023862163,-0.6460835,4.3990545
81,-8.161716,-86.83689,-1.1303447,-0.15386291,-0.49577475,4.773432
82,-8.223171,-86.92984,-0.6624417,-0.5074656,-0.30800128,5.1335573
83,-8.311265,-87.02964,-0.11749021,-1.0333505,-0.10229347,5.466688
84,-8.424038,-87.11449,0.49910888,-1.5263344,0.06096322,5.7079988
85,-8.521352,-87.17177,1.116563,-1.8570997,0.15702206,5.865842
86,-8.584603,-87.20928,1.6027414,-2.026437,0.20464376,5.9442554
87,-8.5996275,-87.23636,1.9341799,-2.0664504,0.22159982,5.9498777
88,-8.567789,-87.26132,2.226644,-2.0122857,0.22088426,5.899235
89,-8.507249,-87.29091,2.5877311,-1.8723811,0.20990404,5.790267
90,-8.475173,-87.32634,3.051422,-1.6427374,0.19108114,5.6081038
91,-8.525566,-87.36269,3.5693455,-1.3326687,0.16535033,5.347867
92,-8.599308,-87.39012,4.045787,-0.9930682,0.13671005,5.072908
93,-8.621312,-87.40557,4.4777794,-0.6611532,0.11320565,4.855223
94,-8.608063,-87.41339,4.9177256,-0.31995937,0.10141835,4.6961756
95,-8.595107,-87.41674,5.381218,0.04685847,0.102443166,4.576548
96,-8.593976,-87.41791,5.8276424,0.38044485,0.11539329,4.4856772
97,-8.606382,-87.41821,6.213716,0.61224335,0.13939947,4.4200478
98,-8.632093,-87.417946,6.558348,0.75205165,0.17227726,4.379579
99,-8.667198,-87.41695,6.88573,0.834751,0.20931026,4.3600955
100,-8.695073,-87.414856,7.1693053,0.87633157,0.24322125,4.350671
101,-8.700828,-87.412056,7.392213,0.88662696,0.26982027,4.3430514
102,-8.686391,-87.40916,7.573941,0.8775476,0.28951955,4.3349752
103,-8.661269,-87.406296,7.737622,0.8575552,0.3038807,4.32619
104,-8.633565,-87.40338,7.8989267,0.8307523,0.31391633,4.316042
105,-8.608369,-87.40029,8.068759,0.7987306,0.31984654,4.3026505
106,-8.587646,-87.39705,8.254969,0.76234376,0.32109767,4.2822037
107,-8.568687,-87.39396,8.461047,0.7237393,0.31615606,4.247535
108,-8.542414,-87.39164,8.685332,0.68870324,0.30207738,4.1850333
109,-8.49787,-87.39054,8.929224,0.6680015,0.27339882,4.068873
110,-8.433398,-87.38998,9.212244,0.6753083,0.22141048,3.8601973
111,-8.353957,-87.389114,9.561625,0.71972686,0.13790545,3.5368824
112,-8.264885,-87.38988,9.976848,0.8141862,0.019349387,3.108595
113,-8.18957,-87.39643,10.420668,0.980101,-0.12992078,2.5919452
114,-8.136943,-87.41157,10.8120985,1.1985296,-0.28753746,2.0666776
115,-8.072999,-87.43309,11.079765,1.4166352,-0.42486238,1.6490443
116,-7.9706874,-87.45741,11.245403,1.5996711,-0.528171,1.3755634
117,-7.8346353,-87.481804,11.360158,1.7444844,-0.60111564,1.2124887
118,-7.696441,-87.50017,11.436996,1.859881,-0.6523237,1.1315099
119,-7.5709043,-87.510124,11.482557,1.9578017,-0.6906103,1.112341
120,-7.4325585,-87.515274,11.511138,2.0549972,-0.72478896,1.1385765
121,-7.220446,-87.52098,11.53387,2.1719394,-0.7625598,1.2130756
122,-6.870506,-87.53087,11.588431,2.3306656,-0.8080846,1.3500108
123,-6.3774066,-87.54333,11.763693,2.5447016,-0.85899574,1.547381
124,-5.8172255,-87.55444,12.063395,2.7830384,-0.9084912,1.7757875
125,-5.314518,-87.56162,12.365844,2.9737256,-0.94602376,1.9827309
126,-4.911954,-87.566536,12.612628,3.0901406,-0.9681099,2.1436896
127,-4.608014,-87.57116,12.800637,3.1438,-0.9786007,2.2562397
128,-4.379578,-87.57647,12.944192,3.1476827,-0.9802225,2.3269148
129,-4.1931868,-87.583084,13.065761,3.1061833,-0.9729954,2.3648252
130,-4.0199866,-87.591415,13.184674,3.0154505,-0.9554258,2.3746364
131,-3.8371933,-87.60189,13.315094,2.8646615,-0.9248498,2.3552976
132,-3.6308663,-87.61527,13.465529,2.6402097,-0.8775801,2.3034554
133,-3.4058912,-87.63293,13.638222,2.3374004,-0.8095187,2.2187324
134,-3.1805117,-87.656525,13.843793,1.9692079,-0.71527255,2.099163
135,-2.9586065,-87.68716,14.119472,1.5557657,-0.58576,1.9300517
136,-2.745752,-87.72325,14.474896,1.1383942,-0.42183208,1.7109369
137,-2.5994406,-87.756874,14.811331,0.81479293,-0.25871837,1.4908178
138,-2.5570114,-87.77589,15.049379,0.661717,-0.13037418,1.2902168
139,-2.5762513,-87.77469,15.205997,0.69573414,-0.035284303,1.0662514
140,-2.618965,-87.75631,15.283861,0.8782167,0.030433727,0.82542086
141,-2.6735113,-87.73127,15.304117,1.1186314,0.06481733,0.634685
142,-2.7102723,-87.71121,15.327936,1.3660765,0.073070355,0.5165307
143,-2.678878,-87.69805,15.376667,1.6723022,0.059985332,0.42499146
144,-2.5279179,-87.68702,15.429397,2.1085167,0.025219662,0.3114292
145,-2.2503908,-87.67378,15.449146,2.6817167,-0.030180784,0.16155203
146,-1.9536604,-87.66041,15.455324,3.2719352,-0.0915633,0.010043998
147,-1.7115532,-87.6519,15.481411,3.7508523,-0.14339083,-0.10672293
148,-1.4889265,-87.65104,15.531475,4.1126547,-0.18426165,-0.19165723
149,-1.257012,-87.657875,15.600917,4.400842,-0.21918152,-0.2572628
150,-1.0229286,-87.67082,15.6788435,4.643439,-0.25169754,-0.30972907
151,-0.80192083,-87.68739,15.752086,4.8509164,-0.28314713,-0.35039368
152,-0.59456617,-87.70514,15.813806,5.0295215,-0.3142747,-0.37904772
153,-0.38799974,-87.72242,15.863679,5.1866174,-0.34606928,-0.39598277
154,-0.16341874,-87.738815,15.905112,5.331179,-0.379884,-0.40248278
155,0.0977914,-87.75517,15.942947,5.472695,-0.41714156,-0.4007732
156,0.404821,-87.77327,15.98102,5.617603,-0.45848393,-0.39436033
157,0.74804425,-87.79565,16.021748,5.764612,-0.50277144,-0.38863578
158,1.1077192,-87.82539,16.0702,5.904602,-0.54708725,-0.3905802
159,1.4787936,-87.864174,16.132946,6.0245333,-0.58744097,-0.40709445
160,1.8691208,-87.908585,16.200891,6.104836,-0.618558,-0.44234005
161,2.2834637,-87.95351,16.248377,6.118818,-0.6352955,-0.49696526
162,2.7329705,-87.9999,16.257454,6.037891,-0.63451356,-0.57239765
163,3.2455258,-88.05258,16.22459,5.840434,-0.6130924,-0.6768064
164,3.849531,-88.113365,16.148872,5.5241213,-0.56597877,-0.82800287
165,4.534632,-88.180176,16.02906,5.0908647,-0.4883173,-1.0374368
166,5.1803594,-88.24047,15.863885,4.581749,-0.38898802,-1.259233
167,5.7109737,-88.28434,15.6359215,4.0609307,-0.28212887,-1.4332993
168,6.1228724,-88.31174,15.36018,3.5795608,-0.1822198,-1.5513788
169,6.39683,-88.32458,15.083066,3.1883478,-0.10608151,-1.6210169
170,6.568653,-88.3283,14.822447,2.89418,-0.055410966,-1.6512514
171,6.695368,-88.32704,14.572046,2.6691973,-0.022519825,-1.6524273
172,6.82511,-88.32239,14.32763,2.4821687,0.00092878053,-1.6311244
173,6.9957213,-88.31493,14.091459,2.3094046,0.021504497,-1.5895852
174,7.1929803,-88.30509,13.863139,2.14951,0.039668173,-1.5351853
175,7.3593354,-88.29366,13.642327,2.0195825,0.051337935,-1.4812828
176,7.4813924,-88.28182,13.433608,1.9219921,0.056651466,-1.4347411
177,7.5766964,-88.27048,13.243889,1.8484932,0.05799573,-1.3957465
178,7.6592045,-88.26012,13.076693,1.7923824,0.057011805,-1.362937
179,7.7364073,-88.250984,12.928994,1.7512866,0.05471901,-1.3360678
180,7.814994,-88.24336,12.787438,1.7309269,0.05199554,-1.3180819
181,7.907597,-88.23793,12.622471,1.7513592,0.049894594,-1.3183292
182,8.038475,-88.235535,12.414157,1.8274759,0.049264386,-1.3481874
183,8.249125,-88.236885,12.209177,1.9171542,0.050802834,-1.4065726
184,8.580509,-88.24258,12.04502,1.9762623,0.05646678,-1.4891888
185,8.967435,-88.24863,11.933662,2.0072458,0.062381126,-1.5658537
186,9.292063,-88.25059,11.872403,2.017194,0.063805036,-1.6071488
187,9.515069,-88.24883,11.82549,2.00916,0.061982177,-1.6216279
188,9.659714,-88.244995,11.766288,1.9861696,0.058667608,-1.6212064
189,9.766415,-88.24002,11.6795435,1.9485382,0.054357223,-1.6115905
190,9.8731575,-88.234245,11.551673,1.892932,0.04841713,-1.5950109
191,10.014434,-88.22767,11.369499,1.8133577,0.03960275,-1.5722
192,10.204175,-88.22,11.130002,1.7065538,0.027378587,-1.5430061
193,10.406779,-88.21081,10.85214,1.5800408,0.0134815555,-1.5059484
194,10.567828,-88.2002,10.567801,1.4497497,0.0008432404,-1.4601709
195,10.670993,-88.18921,10.300982,1.328577,-0.008854041,-1.4082775
196,10.730602,-88.17884,10.0623255,1.2217476,-0.015320586,-1.3544993
197,10.764171,-88.16964,9.853179,1.1293415,-0.018829143,-1.3022316
198,10.783387,-88.16172,9.67015,1.0495431,-0.019784821,-1.2535294
199,10.795218,-88.15504,9.507961,0.98006606,-0.018569404,-1.2091202
